,close,SMA 7,SMA 25,SMA 99,EMA 7,EMA 25,EMA 99,bband upper,bband middle,bband lower,ADX 14,K,D,J,MOM 7,MOM 25,MOM 99,WMA 7,WMA 25,WMA 99,RSI 6,RSI 12,RSI 24,STCK 10,STCD 7
521,"[29340.04,29408.899]","[29276.33,29342.589]","[29353.83,29417.598]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[39.212,40.42]","[40.649,42.418]","[30.432,32.049]","[62.394,65.163]",29.18000000000029,-31.560000000001306,339.0999999999985,29340.256785714522,29349.0832923079,29229.13557979788,54.956541524757824,53.85100387447782,56.306854129706466,53.03048855148806,30.945500029816113
522,"[29271.182,29340.04]","[29276.33,29342.589]","[29353.83,29417.598]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[38.005,39.212]","[31.804,33.573]","[30.432,32.049]","[31.935,34.704]",-16.639999999999418,-49.85999999999694,328.7900000000009,29335.803571428805,29346.039969230977,29232.36723232313,38.29091651113946,46.651510727275095,52.8785951731019,10.358760866906536,28.56187925826933
523,"[29271.182,29340.04]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[36.798,38.005]","[28.266,30.035]","[30.432,32.049]","[23.628,26.397]",10.709999999999127,-24.56999999999971,327.60999999999694,29334.22214285737,29343.85083076944,29235.714662626164,43.65115452414461,48.61073729440643,53.64839207673809,23.404822165978125,31.402459070992702
524,"[29271.182,29340.04]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[35.591,36.798]","[24.729,26.498]","[28.814,30.432]","[18.091,20.86]",10.649999999997815,-23.790000000000877,311.4399999999987,29331.25821428594,29341.429600000207,29238.9159090908,41.74078050118549,47.770403896874726,53.2498252606344,18.076461968828774,33.47404445641848
525,"[29271.182,29340.04]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[34.384,35.591]","[28.266,30.035]","[27.197,28.814]","[26.397,29.166]",2.8100000000013097,-11.049999999999272,332.77000000000044,29331.04142857165,29340.043876923282,29242.30443838373,49.959804220786474,50.67933995594339,54.356460427449676,34.74090848541608,34.3666435853239
526,"[29271.182,29340.04]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[33.176,34.384]","[24.729,26.498]","[27.197,28.814]","[18.091,20.86]",-15.270000000000437,-67.79000000000087,317.9399999999987,29328.3117857145,29337.949846154046,29245.43274141403,44.189180355150434,48.410441219795075,53.34014428387373,21.88623950979133,31.948286050234355
527,"[29271.182,29340.04]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29293.625,29357.597]","[31.969,33.176]","[19.422,21.191]","[23.963,25.58]","[9.784,12.553]",-59.669999999998254,-125.55999999999769,270.40000000000146,29319.790000000216,29334.11440000021,29247.989814141307,32.394120891407646,42.9056836122745,50.739631344984204,10.496589940326263,24.570610212676524
528,"[29133.464,29202.323]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29280.146,29345.844]","[29294.909,29357.43]","[29178.839,29236.786]","[29401.393,29470.94]","[29279.593,29345.322]","[29165.681,29229.653]","[31.969,33.176]","[14.115,15.884]","[20.729,22.346]","[1.477,4.246]",-173.2700000000004,-202.5200000000004,156.52999999999884,29283.1392857145,29321.35452307713,29248.071460605963,12.807121396666346,26.945799221287064,40.82336855022505,5.267291965070203,17.747296414616827
529,"[29202.323,29271.182]","[29276.33,29342.589]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29294.909,29357.43]","[29178.839,29236.786]","[29401.393,29470.94]","[29279.593,29345.322]","[29165.681,29229.653]","[31.969,33.176]","[21.191,22.96]","[20.729,22.346]","[20.86,23.628]",-79.60000000000218,-171.8100000000013,202.63999999999942,29267.381785714497,29313.742400000214,29249.297884848384,35.536708306484755,38.97894766278639,46.159084113026026,32.44467033220952,20.902426338231546
530,"[29202.323,29271.182]","[29210.071,29276.33]","[29290.063,29353.83]","[29141.761,29199.794]","[29214.447,29280.146]","[29294.909,29357.43]","[29178.839,29236.786]","[29331.847,29401.393]","[29279.593,29345.322]","[29165.681,29229.653]","[31.969,33.176]","[26.498,28.266]","[22.346,23.963]","[31.935,34.704]",-85.43999999999869,-124.95999999999913,205.15999999999985,29255.28464285735,29306.910461538675,29250.548771717065,36.63860090042129,39.58249062744026,46.43923714199163,35.725049827427256,22.662458861295704
