,close,SMA 7,SMA 25,SMA 99,EMA 7,EMA 25,EMA 99,bband upper,bband middle,bband lower,ADX 14,K,D,J,MOM 7,MOM 25,MOM 99,WMA 7,WMA 25,WMA 99,RSI 6,RSI 12,RSI 24,STCK 10,STCD 7
300,"[28997.138,29031.915]","[28979.169,29012.633]","[28939.664,28971.87]",,"[28985.499,29018.68]","[28951.358,28982.935]",,"[29055.065,29090.19]","[28984.808,29018.005]","[28910.438,28942.747]","[24.884,25.494]","[60.661,61.554]","[56.778,57.595]","[67.428,68.827]",58.569999999999716,120.47999999999956,154.8199999999997,29013.24142857201,28984.36889230785,28966.714282828252,55.6879990494483,57.50267498083809,54.81282713740744,51.669624132925904,56.68501868129487
301,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28951.358,28982.935]","[28947.051,28976.317]","[29055.065,29090.19]","[28984.808,29018.005]","[28910.438,28942.747]","[25.494,26.104]","[60.661,61.554]","[58.411,59.228]","[64.632,66.03]",75.65999999999985,116.77000000000044,172.8600000000006,29017.700357143436,28988.181876923238,28967.735044444413,60.44988083619529,59.862324358509476,55.97750512146619,61.03403774802562,65.40416693101282
302,"[28997.138,29031.915]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28951.358,28982.935]","[28947.051,28976.317]","[29055.065,29090.19]","[28984.808,29018.005]","[28910.438,28942.747]","[25.494,26.104]","[56.194,57.087]","[57.595,58.411]","[53.444,54.842]",28.51000000000204,91.65000000000146,174.5600000000013,29015.427142857723,28990.39556923093,28968.398484848447,51.27004327741792,55.2183414003174,53.96239790209235,48.031940635588896,66.45194102731786
303,"[29031.915,29066.692]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29055.065,29090.19]","[28984.808,29018.005]","[28942.747,28975.057]","[26.104,26.714]","[61.554,62.448]","[59.228,60.045]","[67.428,68.827]",48.45000000000073,116.14000000000307,184.8199999999997,29020.193214286293,28994.806492307856,28969.671260606032,64.28333052071729,61.69915111421303,57.17846792367877,74.02806904339636,68.91147543691476
304,"[28997.138,29031.915]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28942.747,28975.057]","[26.714,27.323]","[51.727,52.62]","[56.778,57.595]","[42.256,43.655]",-22.630000000001022,69.31000000000131,143.760000000002,29015.468928572005,28996.472369230934,28970.285898989863,49.12273709582765,53.55608622630243,53.427668535186456,48.991772866592854,61.62629917267933
305,"[28997.138,29031.915]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[26.714,27.323]","[46.367,47.26]","[52.694,53.511]","[31.068,32.467]",-34.79000000000087,75.5,218.70000000000076,29014.23035714344,28998.748830769393,28971.085694949463,53.648868669483086,55.75413688376103,54.502233226574894,43.48574502420605,55.59694267289925
306,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[26.714,27.323]","[32.072,32.966]","[46.161,46.978]","[3.099,4.497]",-21.869999999998978,57.06000000000132,171.13999999999942,29010.10178571486,28999.521446154013,28971.51070909088,46.05977555104744,51.63922494056783,52.54951280201169,14.381353830897849,48.80322046880482
307,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[26.104,26.714]","[33.859,34.753]","[42.078,42.894]","[17.084,18.482]",2.290000000000873,48.9900000000016,140.54000000000087,29009.611785714867,29000.99772307709,28972.12974949492,51.72604027005939,54.18963013871113,53.7452584587294,29.357685707282766,45.61580069371295
308,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[26.104,26.714]","[31.179,32.072]","[38.811,39.627]","[17.084,18.482]",-17.470000000001164,26.149999999997817,92.7599999999984,29007.00250000058,29001.696338461705,28972.55739797977,47.46018459171941,52.0542648017326,52.75610059512474,24.74549725920068,40.431723481023674
309,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[24.884,25.494]","[29.392,30.286]","[35.544,36.361]","[17.084,18.482]",-4.020000000000437,47.27000000000044,90.72000000000116,29004.349642857724,29002.109107692475,28972.912907070673,45.969779770922344,51.331360202416064,52.426254503885076,23.12026765275721,36.87291305490485
310,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[24.884,25.494]","[42.793,43.687]","[37.994,38.811]","[52.045,53.444]",-13.319999999999707,51.4900000000016,117.28000000000247,29007.57285714344,29004.140276923248,28973.708688888848,59.18027130104164,56.934546359009644,54.95035271119024,69.89726691219461,36.28279846473317
311,"[28997.138,29031.915]","[28979.169,29012.633]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[25.494,26.104]","[54.407,55.301]","[43.711,44.528]","[77.218,78.616]",22.5,40.110000000000575,102.61000000000057,29012.466785714867,29006.380707692482,28974.576377777736,61.53301937143097,58.03330675197764,55.464341948075116,79.16262841635981,40.592920686128465
312,"[29031.915,29066.692]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[29018.68,29051.861]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[26.104,26.714]","[65.128,66.021]","[50.244,51.061]","[92.601,93.999]",21.670000000001888,34.409999999999854,107.19000000000231,29019.027142857725,29009.25772307709,28975.620937373693,66.34443128965421,60.316295572446755,56.53395143035057,85.25802655909042,46.56038947682623
313,"[28997.138,29031.915]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[26.714,27.323]","[57.087,57.981]","[52.694,53.511]","[64.632,66.03]",18.45999999999913,17.860000000000582,5.700000000000728,29019.87857142915,29010.51040000017,28976.2490424242,51.03866176729171,53.92264383488721,53.838190144835345,41.54485718117163,50.440889955436774
314,"[28997.138,29031.915]","[29012.633,29046.097]","[28971.87,29004.076]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[27.933,28.543]","[49.94,50.834]","[51.878,52.694]","[46.451,47.85]",3.3899999999994184,23.619999999998978,32.909999999999854,29019.160714286292,29011.42812307709,28976.803195959546,48.55974159215528,52.7968341160712,53.348711592460575,36.663537615663465,51.48458308520544
315,"[28997.138,29031.915]","[29012.633,29046.097]","[29004.076,29036.281]","[28967.662,28996.972]","[29018.68,29051.861]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[28.543,29.152]","[51.727,52.62]","[51.878,52.694]","[50.647,52.045]",25.369999999998978,60.28999999999724,71.35999999999694,29021.779285714867,29013.337015384786,28977.62730101005,57.88572493221443,56.556330523515975,54.97176330582072,55.20986992087758,55.83663632258784
316,"[28962.361,28997.138]","[29012.633,29046.097]","[29004.076,29036.281]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[27.933,28.543]","[33.859,34.753]","[46.161,46.978]","[10.091,11.49]",-6.650000000001455,27.31999999999971,14.599999999998545,29014.819285714864,29012.391938461707,28977.743189898934,37.449493635848,46.436204084034536,50.38374941920318,8.689821644092246,53.77514403563571
317,"[28997.138,29031.915]","[29012.633,29046.097]","[29004.076,29036.281]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[27.323,27.933]","[32.966,33.859]","[41.261,42.078]","[14.287,15.685]",-9.210000000002763,47.68999999999868,-21.600000000002183,29013.189285714867,29012.92972307709,28978.263529292886,49.910290609672565,51.94456647279379,52.79764699804343,29.93686683306305,48.06651545290264
318,"[28997.138,29031.915]","[29012.633,29046.097]","[29004.076,29036.281]","[28967.662,28996.972]","[28985.499,29018.68]","[28982.935,29014.511]","[28947.051,28976.317]","[29019.941,29055.065]","[28984.808,29018.005]","[28975.057,29007.366]","[27.323,27.933]","[31.179,32.072]","[37.994,38.811]","[18.482,19.881]",-13.979999999999563,63.77000000000044,-166.70000000000073,29011.890714286295,29013.321538461703,28978.788432323185,49.91616824659936,51.94721294459797,52.798823357637,29.951548964911584,41.03636124555288
