,close,SMA 7,SMA 25,SMA 99,EMA 7,EMA 25,EMA 99,bband upper,bband middle,bband lower,ADX 14,K,D,J,MOM 7,MOM 25,MOM 99,WMA 7,WMA 25,WMA 99,RSI 6,RSI 12,RSI 24,STCK 10,STCD 7
300,"[29006.224,29009.671]","[28998.162,29001.479]","[28968.098,28971.29]",,"[29004.331,29007.619]","[28972.978,28976.107]",,"[29053.799,29057.28]","[28987.201,28990.491]","[28919.462,28922.663]","[25.225,25.285]","[60.782,60.87]","[57.322,57.403]","[67.605,67.743]",58.569999999999716,120.47999999999956,154.8199999999997,29013.24142857201,28984.36889230785,28966.714282828252,55.6879990494483,57.50267498083809,54.81282713740744,51.669624132925904,56.68501868129487
301,"[29016.563,29020.01]","[29011.427,29014.744]","[28971.29,28974.481]","[28967.662,28970.566]","[29007.619,29010.907]","[28976.107,28979.237]","[28947.051,28949.951]","[29060.761,29064.242]","[28993.78,28997.07]","[28922.663,28925.865]","[25.588,25.648]","[60.87,60.959]","[58.536,58.617]","[65.387,65.526]",75.65999999999985,116.77000000000044,172.8600000000006,29017.700357143436,28988.181876923238,28967.735044444413,60.44988083619529,59.862324358509476,55.97750512146619,61.03403774802562,65.40416693101282
302,"[28999.331,29002.778]","[29014.744,29018.06]","[28974.481,28977.673]","[28970.566,28973.471]","[29004.331,29007.619]","[28979.237,28982.366]","[28947.051,28949.951]","[29060.761,29064.242]","[28997.07,29000.36]","[28932.269,28935.471]","[25.829,25.89]","[56.532,56.621]","[57.889,57.97]","[53.885,54.023]",28.51000000000204,91.65000000000146,174.5600000000013,29015.427142857723,28990.39556923093,28968.398484848447,51.27004327741792,55.2183414003174,53.96239790209235,48.031940635588896,66.45194102731786
303,"[29033.795,29037.242]","[29021.376,29024.692]","[28980.864,28984.056]","[28970.566,28973.471]","[29010.907,29014.196]","[28982.366,28985.495]","[28949.951,28952.851]","[29064.242,29067.723]","[29003.65,29006.939]","[28945.076,28948.278]","[26.373,26.433]","[62.375,62.464]","[59.346,59.427]","[68.298,68.436]",48.45000000000073,116.14000000000307,184.8199999999997,29020.193214286293,28994.806492307856,28969.671260606032,64.28333052071729,61.69915111421303,57.17846792367877,74.02806904339636,68.91147543691476
304,"[29002.778,29006.224]","[29018.06,29021.376]","[28984.056,28987.247]","[28973.471,28976.376]","[29010.907,29014.196]","[28985.495,28988.624]","[28949.951,28952.851]","[29053.799,29057.28]","[29010.229,29013.519]","[28967.489,28970.691]","[26.736,26.796]","[52.194,52.282]","[56.999,57.08]","[42.659,42.798]",-22.630000000001022,69.31000000000131,143.760000000002,29015.468928572005,28996.472369230934,28970.285898989863,49.12273709582765,53.55608622630243,53.427668535186456,48.991772866592854,61.62629917267933
305,"[29013.117,29016.563]","[29011.427,29014.744]","[28987.247,28990.439]","[28976.376,28979.28]","[29010.907,29014.196]","[28985.495,28988.624]","[28952.851,28955.752]","[29046.838,29050.319]","[29013.519,29016.809]","[28980.296,28983.498]","[26.856,26.917]","[46.439,46.528]","[53.438,53.519]","[32.265,32.404]",-34.79000000000087,75.5,218.70000000000076,29014.23035714344,28998.748830769393,28971.085694949463,53.648868669483086,55.75413688376103,54.502233226574894,43.48574502420605,55.59694267289925
306,"[28995.885,28999.331]","[29008.111,29011.427]","[28987.247,28990.439]","[28976.376,28979.28]","[29007.619,29010.907]","[28988.624,28991.753]","[28952.851,28955.752]","[29046.838,29050.319]","[29016.809,29020.098]","[28986.7,28989.901]","[26.977,27.038]","[32.451,32.539]","[46.477,46.558]","[4.409,4.548]",-21.869999999998978,57.06000000000132,171.13999999999942,29010.10178571486,28999.521446154013,28971.51070909088,46.05977555104744,51.63922494056783,52.54951280201169,14.381353830897849,48.80322046880482
307,"[29006.224,29009.671]","[29011.427,29014.744]","[28990.439,28993.631]","[28979.28,28982.185]","[29007.619,29010.907]","[28988.624,28991.753]","[28952.851,28955.752]","[29043.357,29046.838]","[29013.519,29016.809]","[28983.498,28986.7]","[26.433,26.494]","[34.133,34.221]","[42.35,42.431]","[17.714,17.852]",2.290000000000873,48.9900000000016,140.54000000000087,29009.611785714867,29000.99772307709,28972.12974949492,51.72604027005939,54.18963013871113,53.7452584587294,29.357685707282766,45.61580069371295
308,"[28999.331,29002.778]","[29008.111,29011.427]","[28990.439,28993.631]","[28979.28,28982.185]","[29004.331,29007.619]","[28988.624,28991.753]","[28955.752,28958.652]","[29029.434,29032.915]","[29010.229,29013.519]","[28986.7,28989.901]","[26.131,26.192]","[32.008,32.096]","[38.87,38.951]","[18.268,18.407]",-17.470000000001164,26.149999999997817,92.7599999999984,29007.00250000058,29001.696338461705,28972.55739797977,47.46018459171941,52.0542648017326,52.75610059512474,24.74549725920068,40.431723481023674
309,"[28995.885,28999.331]","[29008.111,29011.427]","[28993.631,28996.822]","[28979.28,28982.185]","[29004.331,29007.619]","[28991.753,28994.882]","[28955.752,28958.652]","[29029.434,29032.915]","[29006.939,29010.229]","[28986.7,28989.901]","[25.346,25.406]","[29.795,29.883]","[35.875,35.956]","[17.714,17.852]",-4.020000000000437,47.27000000000044,90.72000000000116,29004.349642857724,29002.109107692475,28972.912907070673,45.969779770922344,51.331360202416064,52.426254503885076,23.12026765275721,36.87291305490485
310,"[29020.01,29023.456]","[29004.795,29008.111]","[28996.822,29000.014]","[28982.185,28985.089]","[29007.619,29010.907]","[28991.753,28994.882]","[28955.752,28958.652]","[29032.915,29036.395]","[29010.229,29013.519]","[28986.7,28989.901]","[25.346,25.406]","[43.163,43.252]","[38.303,38.384]","[52.915,53.053]",-13.319999999999707,51.4900000000016,117.28000000000247,29007.57285714344,29004.140276923248,28973.708688888848,59.18027130104164,56.934546359009644,54.95035271119024,69.89726691219461,36.28279846473317
