,timestamp,market_cap_at_time,volume_at_time,token_credit_score,price_at_time
0,1640915100.0,7596754296.0,271278513.6666667,569.0,0.171395
1,1640915400.0,7588365197.0,269233578.3333333,570.0,0.17170317
2,1640915700.0,7588365197.0,269233578.3333333,570.0,0.1715761539999999
3,1640916000.0,7588365197.0,269233578.3333333,570.0,0.17185626
4,1640916300.0,7582291177.666667,267318270.66666663,570.0,0.17165307
5,1640916600.0,7582291177.666667,267318270.66666663,570.0,0.17130757
6,1640916900.0,7582291177.666667,267318270.66666663,570.0,0.1713417119999999
7,1640917200.0,7557348840.333333,268414256.66666663,570.0,0.171173196
8,1640917500.0,7557348840.333333,268414256.66666663,570.0,0.1710383166666666
9,1640917800.0,7557348840.333333,268414256.66666663,570.0,0.170586828
10,1640918100.0,7545518228.333333,267071632.3333333,570.0,0.17020406
11,1640918400.0,7545518228.333333,267071632.3333333,570.0,0.170265388
12,1640918700.0,7545518228.333333,267071632.3333333,570.0,0.170367182
13,1640919000.0,7565532248.666667,266868161.3333333,570.0,0.170381998
14,1640919300.0,7565532248.666667,266868161.3333333,570.0,0.170557144
15,1640919600.0,7565532248.666667,266868161.3333333,570.0,0.1706829733333333
16,1640919900.0,7553831332.666667,267401287.0,570.0,0.170566276
17,1640920200.0,7553831332.666667,267401287.0,570.0,0.1705395639999999
18,1640920500.0,7553831332.666667,267401287.0,570.0,0.170599958
19,1640920800.0,7585597235.0,267992044.0,570.0,0.170371926
20,1640921100.0,7585597235.0,267992044.0,570.0,0.17063035
21,1640921400.0,7585597235.0,267992044.0,570.0,0.1710238
22,1640921700.0,7584498531.666667,268862037.6666667,570.0,0.171114372
23,1640922000.0,7584498531.666667,268862037.6666667,570.0,0.171110488
24,1640922300.0,7584498531.666667,268862037.6666667,570.0,0.171252286
25,1640922600.0,7598359524.0,268123095.66666663,570.0,0.1713778566666667
26,1640922900.0,7598359524.0,268123095.66666663,570.0,0.171421138
27,1640923200.0,7598359524.0,268123095.66666663,570.0,0.171525028
28,1640923500.0,7599559836.333333,267330053.0,570.0,0.1714842766666666
29,1640923800.0,7599559836.333333,267330053.0,570.0,0.1714747959999999
30,1640924100.0,7599559836.333333,267330053.0,570.0,0.1713745025
31,1640924400.0,7601921816.333333,264843372.66666663,570.0,0.1712897583333333
32,1640924700.0,7601921816.333333,264843372.66666663,570.0,0.171550972
33,1640925000.0,7601921816.333333,264843372.66666663,570.0,0.171764374
34,1640925300.0,7606439736.666667,264803914.66666663,570.0,0.1717277479999999
35,1640925600.0,7606439736.666667,264803914.66666663,570.0,0.171661516
36,1640925900.0,7606439736.666667,264803914.66666663,570.0,0.1717840159999999
37,1640926200.0,7609499476.0,264582542.3333333,570.0,0.1717645619999999
38,1640926500.0,7609499476.0,264582542.3333333,570.0,0.17164061
39,1640926800.0,7609499476.0,264582542.3333333,570.0,0.1717096983333333
40,1640927100.0,7609499476.0,264424467.3333333,570.0,0.171758758
41,1640927400.0,7609499476.0,264424467.3333333,570.0,0.171627118
42,1640927700.0,7609499476.0,264424467.3333333,570.0,0.1716239719999999
43,1640928000.0,7591228191.0,263785122.0,570.0,0.171733638
44,1640928300.0,7591228191.0,263785122.0,570.0,0.171706464
45,1640928600.0,7591228191.0,263785122.0,570.0,0.171531312
46,1640928900.0,7597415127.333333,263942232.66666663,570.0,0.171388552
47,1640929200.0,7597415127.333333,263942232.66666663,570.0,0.171341514
48,1640929500.0,7597415127.333333,263942232.66666663,570.0,0.171322232
49,1640929800.0,7570030597.0,262366276.66666663,570.0,0.171385238
50,1640930100.0,7570030597.0,262366276.66666663,570.0,0.1714234
51,1640930400.0,7570030597.0,262366276.66666663,570.0,0.171430754
52,1640930700.0,7577082991.666667,262767603.3333333,570.0,0.171225478
53,1640931000.0,7577082991.666667,262767603.3333333,570.0,0.170893556
54,1640931300.0,7577082991.666667,262767603.3333333,570.0,0.170967378
55,1640931600.0,7605323888.0,262613878.0,570.0,0.171094376
56,1640931900.0,7605323888.0,262613878.0,570.0,0.171452042
57,1640932200.0,7605323888.0,262613878.0,570.0,0.1716271359999999
58,1640932500.0,7605612715.666667,262097499.0,571.0,0.171575444
59,1640932800.0,7605612715.666667,262097499.0,571.0,0.17157638
60,1640933100.0,7605612715.666667,262097499.0,571.0,0.171552544
61,1640933400.0,7618232443.666667,260899666.3333333,570.0,0.171624822
62,1640933700.0,7618232443.666667,260899666.3333333,570.0,0.172125684
63,1640934000.0,7618232443.666667,260899666.3333333,570.0,0.17229291
64,1640934300.0,7596698363.333333,258924314.3333333,570.0,0.1722271716666666
65,1640934600.0,7596698363.333333,258924314.3333333,570.0,0.172151854
66,1640934900.0,7596698363.333333,258924314.3333333,570.0,0.171860314
67,1640935200.0,7564871903.0,255989447.66666663,570.0,0.17162881
68,1640935500.0,7564871903.0,255989447.66666663,570.0,0.171439654
69,1640935800.0,7564871903.0,255989447.66666663,570.0,0.171340344
70,1640936100.0,7557124528.666667,254197579.66666663,570.0,0.171181694
71,1640936400.0,7557124528.666667,254197579.66666663,570.0,0.170957478
72,1640936700.0,7557124528.666667,254197579.66666663,570.0,0.170856962
73,1640937000.0,7609304301.333333,255020818.0,570.0,0.170911874
74,1640937300.0,7609304301.333333,255020818.0,570.0,0.170988486
75,1640937600.0,7609304301.333333,255020818.0,570.0,0.17127378
76,1640937900.0,7618978369.0,254562769.66666663,571.0,0.171656448
77,1640938200.0,7618978369.0,254562769.66666663,571.0,0.171648352
78,1640938500.0,7618978369.0,254562769.66666663,571.0,0.171778492
