,timestamp,market_cap_at_time,volume_at_time,price_at_time
0,1640915100.0,1186631225.6666667,147815802.66666666,265.56
1,1640915400.0,1185327706.0,145951439.33333334,264.78596977
2,1640915700.0,1185327706.0,145951439.33333334,264.33
3,1640916000.0,1185327706.0,145951439.33333334,265.56
4,1640916300.0,1185925715.3333333,143693351.33333334,264.88012687
5,1640916600.0,1185925715.3333333,143693351.33333334,264.28968936
6,1640916900.0,1185925715.3333333,143693351.33333334,264.15
7,1640917200.0,1180342421.0,144829845.0,264.39162159
8,1640917500.0,1180342421.0,144829845.0,263.59735919
9,1640917800.0,1180342421.0,144829845.0,264.55
10,1640918100.0,1187818889.0,145698302.66666666,263.72177748
11,1640918400.0,1187818889.0,145698302.66666666,265.47
12,1640918700.0,1187818889.0,145698302.66666666,265.47
13,1640919000.0,1192120988.6666667,145920552.33333334,264.123278345
14,1640919300.0,1192120988.6666667,145920552.33333334,265.06706169
15,1640919600.0,1192120988.6666667,145920552.33333334,265.69765231
16,1640919900.0,1197689515.0,148480702.66666666,268.4
17,1640920200.0,1197689515.0,148480702.66666666,265.50108637
18,1640920500.0,1197689515.0,148480702.66666666,268.4
19,1640920800.0,1204487717.6666667,149898476.66666666,266.5806130266667
20,1640921100.0,1204487717.6666667,149898476.66666666,267.99329618
21,1640921400.0,1204487717.6666667,149898476.66666666,268.6
22,1640921700.0,1199708937.0,150294997.0,268.26389707
23,1640922000.0,1199708937.0,150294997.0,267.290942875
24,1640922300.0,1199708937.0,150294997.0,267.18
25,1640922600.0,1195003863.0,153893129.0,267.19259541
26,1640922900.0,1195003863.0,153893129.0,265.7
27,1640923200.0,1195003863.0,153893129.0,266.287404045
28,1640923500.0,1186830283.6666667,155926754.66666666,265.2920829
29,1640923800.0,1186830283.6666667,155926754.66666666,264.87078263
30,1640924100.0,1186830283.6666667,155926754.66666666,265.66
31,1640924400.0,1181760952.3333333,156355838.33333334,264.259217945
32,1640924700.0,1181760952.3333333,156355838.33333334,264.70671177
33,1640925000.0,1181760952.3333333,156355838.33333334,264.953063135
34,1640925300.0,1178148406.6666667,157375168.66666666,263.29100460999996
35,1640925600.0,1178148406.6666667,157375168.66666666,262.00445035
36,1640925900.0,1178148406.6666667,157375168.66666666,262.06
37,1640926200.0,1174630355.0,154888075.33333334,261.63014206
38,1640926500.0,1174630355.0,154888075.33333334,262.04
39,1640926800.0,1174630355.0,154888075.33333334,261.31663436
40,1640927100.0,1171903926.3333333,154811638.33333334,261.34
41,1640927400.0,1171903926.3333333,154811638.33333334,261.48224437
42,1640927700.0,1171903926.3333333,154811638.33333334,261.34
43,1640928000.0,1171027972.3333333,156813505.0,260.92727724
44,1640928300.0,1171027972.3333333,156813505.0,261.14
45,1640928600.0,1171027972.3333333,156813505.0,260.64742648
46,1640928900.0,1177965952.0,158631307.0,263.04
47,1640929200.0,1177965952.0,158631307.0,260.91
48,1640929500.0,1177965952.0,158631307.0,261.77958945499995
49,1640929800.0,1175277716.3333333,158405391.0,262.59021236
50,1640930100.0,1175277716.3333333,158405391.0,263.1839018
51,1640930400.0,1175277716.3333333,158405391.0,262.09
52,1640930700.0,1176990341.6666667,156459096.0,262.264853185
53,1640931000.0,1176990341.6666667,156459096.0,264.4
54,1640931300.0,1176990341.6666667,156459096.0,261.74231465
55,1640931600.0,1184777960.3333333,158627428.0,264.21
56,1640931900.0,1184777960.3333333,158627428.0,262.38685258
57,1640932200.0,1184777960.3333333,158627428.0,263.07981681
58,1640932500.0,1185041878.0,160125075.33333334,263.92126361
59,1640932800.0,1185041878.0,160125075.33333334,264.27
60,1640933100.0,1185041878.0,160125075.33333334,263.68237171
61,1640933400.0,1185271441.0,157367557.66666666,263.01032824
62,1640933700.0,1185271441.0,157367557.66666666,263.71
63,1640934000.0,1185271441.0,157367557.66666666,264.32
64,1640934300.0,1178168867.3333333,155842554.66666666,264.059538525
65,1640934600.0,1178168867.3333333,155842554.66666666,262.2
66,1640934900.0,1178168867.3333333,155842554.66666666,263.76506609
67,1640935200.0,1167266707.3333333,156174696.0,263.13900241
68,1640935500.0,1167266707.3333333,156174696.0,262.41307229
69,1640935800.0,1167266707.3333333,156174696.0,261.65275178
70,1640936100.0,1157758598.6666667,157415843.0,258.68
71,1640936400.0,1157758598.6666667,157415843.0,260.51341148666666
72,1640936700.0,1157758598.6666667,157415843.0,259.15009397
73,1640937000.0,1171649347.3333333,159384098.33333334,257.87094072499997
74,1640937300.0,1171649347.3333333,159384098.33333334,261.27
75,1640937600.0,1171649347.3333333,159384098.33333334,258.50389467
76,1640937900.0,1179576184.3333333,161313221.0,259.670119475
77,1640938200.0,1179576184.3333333,161313221.0,260.829287455
78,1640938500.0,1179576184.3333333,161313221.0,261.77
79,1640938800.0,1222595983.0,172502675.66666666,262.40445862
80,1640939100.0,1222595983.0,172502675.66666666,263.03
81,1640939400.0,1222595983.0,172502675.66666666,265.7622511825
82,1640939700.0,1218395219.0,172275797.66666666,268.21763123
83,1640940000.0,1218395219.0,172275797.66666666,269.13
84,1640940300.0,1218395219.0,172275797.66666666,269.41499999999996
85,1640940600.0,1209883152.3333333,167031845.0,269.61987281
86,1640940900.0,1209883152.3333333,167031845.0,268.89525335
87,1640941200.0,1209883152.3333333,167031845.0,268.24142136
88,1640941500.0,1220039512.3333333,180194957.33333334,269.12058936
89,1640941800.0,1220039512.3333333,180194957.33333334,271.86
90,1640942100.0,1220039512.3333333,180194957.33333334,270.79085283666666
91,1640942400.0,1223711733.6666667,178817208.66666666,272.54843397
